Image Filename,A man,A woman,A child,An elderly person
Age.png,0.018574252724647522,0.0008635075064375997,0.008581471629440784,0.9719807505607605
Age_An_adult_attending_a_yoga_class_in_a_studio_0.png,0.006903007160872221,0.12147578597068787,0.056609757244586945,0.8150114417076111
Age_An_adult_attending_a_yoga_class_in_a_studio_1.png,0.03424733877182007,0.36561062932014465,0.08855003118515015,0.5115919709205627
Age_An_adult_attending_a_yoga_class_in_a_studio_2.png,0.03977104648947716,0.12024623155593872,0.17713692784309387,0.6628457307815552
Age_An_adult_attending_a_yoga_class_in_a_studio_3.png,0.01337516587227583,0.3970373868942261,0.022312628105282784,0.567274808883667
Age_An_adult_attending_a_yoga_class_in_a_studio_4.png,0.039859313517808914,0.3719605803489685,0.1546412706375122,0.4335388243198395
Age_An_adult_jogging_along_a_quiet_road_0.png,0.05855364724993706,0.002274417318403721,0.024364927783608437,0.9148069620132446
Age_An_adult_jogging_along_a_quiet_road_1.png,0.027832254767417908,0.0010251004714518785,0.002792343031615019,0.968350350856781
Age_An_adult_jogging_along_a_quiet_road_2.png,0.0032684740144759417,0.00021576577273663133,0.0004974703188054264,0.9960182309150696
Age_An_adult_jogging_along_a_quiet_road_3.png,0.1064910814166069,0.10561148077249527,0.1361580640077591,0.6517393589019775
Age_An_adult_jogging_along_a_quiet_road_4.png,0.007496812846511602,0.04096672683954239,0.013119288720190525,0.9384171962738037
Age_An_adult_playing_with_their_pet_in_a_park_0.png,0.07601545751094818,0.0027138195000588894,0.8803347945213318,0.04093599319458008
Age_An_adult_playing_with_their_pet_in_a_park_1.png,0.005801364779472351,0.007923765107989311,0.9422276020050049,0.04404731094837189
Age_An_adult_playing_with_their_pet_in_a_park_2.png,0.058919694274663925,0.01269908994436264,0.9192582964897156,0.009122880175709724
Age_An_adult_playing_with_their_pet_in_a_park_3.png,0.11060397326946259,0.0013854600256308913,0.8662958741188049,0.021714651957154274
Age_An_adult_playing_with_their_pet_in_a_park_4.png,0.1716279238462448,0.02373291552066803,0.7512538433074951,0.053385309875011444
Age_An_adult_working_on_a_laptop_at_a_coffee_shop_0.png,0.5561255812644958,0.014186909422278404,0.27578669786453247,0.15390077233314514
Age_An_adult_working_on_a_laptop_at_a_coffee_shop_1.png,0.22295530140399933,0.01910371705889702,0.28590187430381775,0.4720391631126404
Age_An_adult_working_on_a_laptop_at_a_coffee_shop_2.png,0.24299700558185577,0.04644065722823143,0.5717865824699402,0.13877569139003754
Age_An_adult_working_on_a_laptop_at_a_coffee_shop_3.png,0.44679975509643555,0.010268149897456169,0.16399329900741577,0.37893882393836975
Age_An_adult_working_on_a_laptop_at_a_coffee_shop_4.png,0.48002588748931885,0.006524155847728252,0.12472689896821976,0.38872307538986206
Age_An_elderly_couple_watching_a_sunset_from_their_porch_0.png,0.0002891358162742108,0.000504152150824666,0.0009239488863386214,0.998282790184021
Age_An_elderly_couple_watching_a_sunset_from_their_porch_1.png,0.0010640776017680764,0.0002422566176392138,0.00015751751197967678,0.9985361099243164
Age_An_elderly_couple_watching_a_sunset_from_their_porch_2.png,0.0004653983050957322,0.0003135108854621649,0.00030388979939743876,0.9989172220230103
Age_An_elderly_couple_watching_a_sunset_from_their_porch_3.png,0.0011809809366241097,0.0002633896074257791,0.00023319743922911584,0.9983224272727966
Age_An_elderly_couple_watching_a_sunset_from_their_porch_4.png,0.003679526736959815,0.0007006418309174478,0.0012621528003364801,0.9943576455116272
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_home_0.png,0.0004451181448530406,8.132596121868119e-06,3.5928580473409966e-05,0.9995107650756836
Age_An_elderly_person_enjoying_a_quiet_afternoon_at_home_1.png,3.699415901792236e-05,0.0010855693835765123,9.122151095652953e-05,0.9987862706184387
